"","Clearance","Folding","PN-metabolism","PN-signaling","Protein synthesis","Trafficking","ER","HSP100","HSP40","HSP60","HSP70","HSP90","MITO","PFD","sHSP","TPR"
"GlioblastomamultiformeSolidTissueNormal",0,0,0,0,0,0,-1.44995782440038,-1.43380002885033,0.214608484751168,-1.56993512454333,0.875903927328853,-1.56273928989937,2.47627779412249,-0.711663554764637,3.36625245152781,-1.54608434139744
"GlioblastomamultiformePrimarysolidTumor",0,0,0,0,0,0,-8.78979672458737,-2.95214679821455,-0.875691243878856,-0.807615937438563,-0.962320132030661,-0.57528146914081,-1.84133485549142,-0.993606494664551,1.02104567464985,-2.20389168633904
"HeadandNecksquamouscellcarcinomaSolidTissueNormal",0,0,0,0,0,0,-0.82294737929946,-3.12760028781344,-5.26641526933324,-2.60680473493128,-1.53558553866492,-3.52255867483506,-3.10982639867593,-2.63710070870323,-1.85133834051066,-4.94225402168662
"HeadandNecksquamouscellcarcinomaPrimarysolidTumor",0,0,0,0,0,0,-7.0987283334825,-2.63214628991447,-4.67287772290497,-1.41269955079108,-0.671208721756382,-2.45722435916408,-2.86995273149924,-2.25441924622683,-4.37077904062379,-4.32737924222713
"KidneyChromophobeSolidTissueNormal",0,0,0,0,0,0,1.26677222773933,0.423731032770151,0.144935744713587,-0.890750997510599,0.704947762372652,-1.70572209148447,-2.34659880266986,-1.28915374075657,3.40997403288089,-1.5801460968957
"KidneyChromophobePrimarysolidTumor",0,0,0,0,0,0,-8.44490249816448,-2.8959353124389,-2.93258341588954,-1.47864917192497,-0.712167195652596,-2.35987872864555,-2.18537118185795,-1.10538449424524,-1.66938540936525,-4.0138049567287
"KidneyrenalclearcellcarcinomaSolidTissueNormal",0,0,0,0,0,0,1.00673926264868,-0.99679873886289,0.135236794080232,-0.846775861804872,1.14432360101764,-2.34719765054301,-2.63342267291686,-1.73063275851941,2.32482780687997,-1.55071687329666
"KidneyrenalclearcellcarcinomaPrimarysolidTumor",0,0,0,0,0,0,-3.43132378446468,-3.13166967230625,-0.509227260769692,-1.75506955198485,-0.865556108933329,-1.71600314607155,-2.92618544031389,-1.80156539517588,-0.571572543006261,-2.06544241937239
"KidneyrenalpapillarycellcarcinomaSolidTissueNormal",0,0,0,0,0,0,3.30265872314096,-0.386880607009783,0.162827825959397,-0.920489840647777,1.0636067244047,-2.62221236043962,-2.36462306026123,-2.02821655072816,3.30456385388695,-1.94193338104402
"KidneyrenalpapillarycellcarcinomaPrimarysolidTumor",0,0,0,0,0,0,-4.13885617293623,-3.09642891875163,-0.0871478783084091,-1.67783607866359,-1.7375662914504,-1.83329110374661,-2.09118404785979,-1.71218311426313,-1.07842512582955,-2.30351383175318
"LiverhepatocellularcarcinomaSolidTissueNormal",0,0,0,0,0,0,19.9256246934798,-3.92574141048285,-3.43511227881982,-4.04396783798699,-5.57207762294802,-4.99055299487262,-3.22367460795837,-4.33356772870547,-5.1907578756667,-7.78676016136368
"LiverhepatocellularcarcinomaPrimarysolidTumor",0,0,0,0,0,0,8.31961107728018,-4.08644548944916,-2.97648331975931,-2.74737771947921,-4.31946836621714,-3.3301678233138,-2.487566000384,-2.69781055835504,-7.14731490598258,-6.19959623412153
"LungadenocarcinomaSolidTissueNormal",0,0,0,0,0,0,4.841627541285,-0.539191939008951,-2.12925453345363,-2.91118139298194,-2.14071485841353,-2.15764196412527,-2.57529839363224,-2.34502872666889,1.87584344483703,-1.71311079998694
"LungadenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,-3.77979152543398,-0.857146617544302,-0.474469022864967,-1.75494350568446,-1.85572325596507,-1.04031508228011,-2.49670367566243,-1.49031855412031,-3.93592274620071,-2.5620510108843
"LungsquamouscellcarcinomaSolidTissueNormal",0,0,0,0,0,0,3.93970227561208,-0.745101027637599,-2.10992314527604,-3.06222990424132,-1.87330623212569,-2.16350238841598,-3.214419404519,-2.31078890589392,2.52928553080636,-1.3541314689443
"LungsquamouscellcarcinomaPrimarysolidTumor",0,0,0,0,0,0,-3.86980002838437,-2.34226400664078,-2.22522322717092,-0.567717914606004,-0.338009689213356,-0.652679342715475,-2.34981339910929,-1.21518179247083,-4.21338841522081,-3.12605597655658
"PancreaticadenocarcinomaSolidTissueNormal",0,0,0,0,0,0,-0.386694411686036,-0.870531103902557,0.141711040064316,-1.62261767530097,-2.0917084387029,-0.64844608222531,-1.46148710251609,-0.731033276006085,0.596016230536168,-1.90426473909981
"PancreaticadenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,-0.555260088381514,-1.82455268960371,-0.380757782126304,-2.39712892895386,-2.13592866221631,-1.33602125913245,-1.4059584610266,-1.61891030291533,-2.3412963011553,-3.16180855942777
"PheochromocytomaandParagangliomaSolidTissueNormal",0,0,0,0,0,0,2.96401975327462,-3.35731503415361,-1.60251557620143,1.36745760629662,0.747841984645753,-0.527044907477542,7.58944789309936,0.131650135720049,2.17558328168173,-2.58354750620102
"PheochromocytomaandParagangliomaPrimarysolidTumor",0,0,0,0,0,0,-11.3250154973392,-3.67933643213309,-2.03503219778694,-1.36418714941487,-1.53770164769779,-1.40800560430744,-2.17315025101335,-0.764394828149872,-2.21875808716875,-3.36833798378711
"ProstateadenocarcinomaSolidTissueNormal",0,0,0,0,0,0,-1.55603795283996,-0.520432710801983,-1.41340921513832,-2.46521361074301,-0.884167202880097,-1.6893784701142,-2.56181352966417,-1.79551092046839,1.72789267056123,1.95226362016452
"ProstateadenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,-5.60383927758932,-2.12632982492867,-1.74802959369974,-1.11750969642401,-2.59761830157166,-1.24583990971008,-2.38976556566747,-1.5722947378591,-1.92816315652002,1.23574477570195
"SarcomaSolidTissueNormal",0,0,0,0,0,0,-3.45240373914974,-0.411163071745597,-3.43358594346499,-1.4066657833915,-0.625787324615392,-1.24271713905245,-1.78216815120254,-0.520763564546798,5.71500753157992,-0.749865248641842
"SarcomaPrimarysolidTumor",0,0,0,0,0,0,-11.6920851598893,-3.45053688708283,-3.76395343950206,-2.0867015419132,-2.71306085172155,-1.74723291110803,-2.7324657615912,-1.60462135441848,-2.4960741910895,-4.19143536064488
"SkinCutaneousMelanomaSolidTissueNormal",0,0,0,0,0,0,-6.05884767079156,-0.865750492969107,-0.611041864286641,0.669604974064204,0.480505456360319,0.229388794134618,-2.06923312934267,1.34138822951928,-3.01049829365834,3.11244980349428
"SkinCutaneousMelanomaPrimarysolidTumor",0,0,0,0,0,0,-12.5202344646422,-3.67796320448132,-3.61986013778322,-1.67703056833452,-2.74035321439806,-0.854076034545631,-2.04283116765889,-1.31983240862963,-4.81906995625705,-4.71460022598042
"StomachadenocarcinomaSolidTissueNormal",0,0,0,0,0,0,-2.36496226259935,-4.5954230824628,-4.6603517170256,-3.76949135941044,-4.03579011278454,-3.3169877093609,-2.94289120942143,-3.97723749264057,-1.51962224312907,-3.83772161672885
"StomachadenocarcinomaPrimarysolidTumor",0,0,0,0,0,0,-1.00650341127059,-3.74979740784755,-1.26052171498789,-2.33613504150609,-2.15067532825179,-1.54071876387543,-2.73042477681603,-2.65946478477631,-5.51494609861369,-3.14077213833178
"ThyroidcarcinomaSolidTissueNormal",0,0,0,0,0,0,-4.768916098497,0.996328318632359,-1.50275547981083,-2.14898949920169,-1.88576922220998,-1.213911870972,-3.05624630685184,-1.59983353828553,-1.00646692728721,-2.48271286629518
"ThyroidcarcinomaPrimarysolidTumor",0,0,0,0,0,0,-6.12461394987344,0.581378719835055,-1.90713605982323,-2.05316895704154,-2.73301095351403,-1.57383873471115,-3.03480205542965,-1.41687462155433,-2.8938471825279,-3.00707281026142
"ThymomaSolidTissueNormal",0,0,0,0,0,0,1.23612716175028,0.134898682237377,-1.36480001625132,-1.23151745423131,-1.36862948435423,0.175799527363983,1.91509618540275,-0.785252215490129,1.82681535043509,-2.487181635067
"ThymomaPrimarysolidTumor",0,0,0,0,0,0,-5.71942358131979,0.605025617114391,-3.47109822382948,-1.45106751735338,-4.01393969455024,-0.463091069570217,-2.30706471212954,-0.324130809096363,-6.81518017962146,-3.76145556616728
"UterineCorpusEndometrialCarcinomaSolidTissueNormal",0,0,0,0,0,0,-0.360413225738487,-0.270306712700096,-2.52309799665028,-3.13681019517356,0.37337285296992,0.243597006383283,-1.86401137476788,-2.47608725687048,2.64891272716384,-2.74980697271503
"UterineCorpusEndometrialCarcinomaPrimarysolidTumor",0,0,0,0,0,0,-3.32203891314377,0.500143470249315,-0.0857376597375147,-2.03636508901643,-1.75890690597447,1.3088405095824,-1.31892426782026,-1.2491587276508,-4.00075381227327,-2.99618944358139
